Rank,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
88,Cyprus,8.1,7.3,7.8,13.8,12.8,58.4,1.7
89,Norway,7.8,4.0,4.2,25.1,23.7,58.1,1.7
90,Sweden,7.7,3.7,4.4,27.4,22.9,59.6,1.7
91,Netherlands,7.7,5.0,5.5,20.2,18.3,57.5,1.7
92,Kuwait,7.5,3.5,4.9,29.0,20.5,60.4,1.7
93,Jordan,7.4,5.9,6.5,17.0,15.3,71.8,1.4
94,Ireland,7.2,7.4,8.2,13.5,12.2,54.5,1.8
95,Belgium,7.0,4.5,4.9,22.3,20.6,48.2,2.1
96,Palestine,6.6,7.2,7.3,13.9,13.7,62.6,1.6
97,Denmark,6.6,4.3,4.7,23.1,21.4,47.8,2.1
98,Iceland,6.1,6.1,6.8,16.5,14.8,59.0,1.7
99,Qatar,5.2,7.3,6.6,13.8,15.1,40.2,2.5
100,Puerto Rico,4.4,7.8,6.4,12.9,15.6,35.4,2.8
101,United Arab Emirates,3.9,11.8,11.6,8.5,8.6,29.1,3.4
102,United States,3.3,11.2,11.2,9.0,8.9,29.9,3.3
103,South Africa,3.3,10.3,10.2,9.8,9.8,41.6,2.4
104,Saudi Arabia,3.1,6.4,6.9,15.6,14.5,23.7,4.2
105,Oman,2.9,7.6,8.0,13.2,12.4,25.6,4.1
